sentence;food;service;price;place;other
atmosphere merupakan tempat yang tepat jika anda ingin makan malam baik bersama teman maupun kelurga   , bahkan cocok untuk keluarga besar  . ;-;-;-;positive;-
pilihan makanan lebih ke western dengan suasana yang sangat nyaman dan menyenangkan   , jika ingin kesana saat weekend anda sepertinya perlu melakukan reservasi untuk memastikan kebagian tempat   , seringkali ada live music juga  . ;-;-;-;positive;-
cafe ini cukup unik  . ;-;-;-;positive;-
dari pintu masuk terlihat seperti cafe biasa saja  . ;-;-;-;negative;-
akan tetapi setelah masuk ke dalam suasananya berbeda sekali  . ;-;-;-;positive;-
saya suka berada disini  . ;-;-;-;-;-
hanya saja makanan kurang menurutku  . ;negative;-;-;-;-
menu makanan sangat banyak . ;positive;-;-;-;-
tetapi rasa dari tiap makanan agak kurang .;negative;-;-;-;-
saya sangat suka dengan soup yang mereka sediakan   , enak dan gurih  . ;positive;-;-;-;-
cahaya lilin   , saung yang berjauhan   , dan kolam ikan di tengah memberikan suasana romantis bagi pasangan  . ;-;-;-;positive;-
untuk makanan dan minuman sendiri   , rasanya lumayan di lidah  . ;positive;-;-;-;-
cafe sekaligus restoran ini pemandangannya sangat bagus  . ;-;-;-;positive;-
cocok untuk para pasangan yang mau candle lampu makan malam  . ;-;-;-;-;-
tetapi untuk makan malam sama keluarga juga sangat direkomendasikan  . ;positive;-;-;-;-
bandung memang banyak punya tempat yang bagus dan bagus pemandangan  . ;-;-;-;positive;-
bitter ballen harga sangat bersahabat untuk lokasi dan makanan  . ;-;-;positive;-;-
tadinya berpikir restoran braga permai punya harga makanan yang mahal   , ternyata di luar dugaan  . ;-;-;negative;-;-
harganya tidak terlalu mahal . ;-;-;positive;-;-
tetapi pelayanannya mengagumkan .;-;positive;-;-;-
selain rasanya mengesankan   , harganya relatif terjangkau  . ;positive;-;positive;-;-
menunya ada western dan indo   , yang paling saya suka pizzanya  . ;positive;-;-;-;-
bagi yang senang bernostalgia   , tempat ini tidak bakal mengecewakan  . ;-;-;-;positive;-
cita rasanya makanannya biasa saja  . ;negative;-;-;-;-
yang disarankan cuma nasi goreng  . ;positive;-;-;-;-
fettucini enak dan makanan penutupnya sangat unik dan enak  . ;positive;-;-;-;-
tetapi tidak dengan hidangan ayam olahan seperti cordon blue   , dagingnya terasa tidak segar dan agak bau  . ;negative;-;-;-;-
maka   , penilaian saya  : huzarensla di sini termasuk enak jika dimakan dengan roti panggang bawang putih  . ;positive;-;-;-;-
namun   , di luar dugaan   , bihun kuah ini ternyata disajikan dalam porsi yang besar   , bisa untuk makan bertiga  . ;positive;-;-;-;-
rasanya mengecewakan  ( dengan catatan saya makan apa adanya   , tidak menambahkan garam   , merica atau apapun ke dalamnya  ) karena   , pertama   , kuahnya bagi saya kurang panas  . ;negative;-;-;-;-
kedua   , kaldu ayamnya tidak terlalu berasa;negative;-;-;-;-
perpaduan rasa yang timbul bagi saya aneh  . ;negative;-;-;-;-
pelayan lalu berkelit lagi dengan menunjukkan tablet pencatat order makanan bertuliskan bihun kuah rp 44  . 500  . ;-;negative;-;-;-
pelayan masih coba berkelit lagi  . ;-;negative;-;-;-
meskipun waktu saya makan di sana   , ada ensembel musik yang menyanyikan lagu-lagu lama yang saya sukai;-;-;-;positive;-
ice cream dan nasi goreng di tempat ini adalah menu favorit yang sering saya beli   , porsinya cukup untuk memuaskan perut yang sedang lapar  . ;positive;-;-;-;-
kami memutuskan makan disini karena ada live music lagu-lagu jaman dulu yang dimainkan di area pintu masuknya   , pas sekali dengan suasana restonya  . ;-;-;-;-;-
tanpa kami duga makanannya cukup terjangkau   , rata-rata dibawah 80000  . ;positive;-;-;-;-
saya pesan spageti aglio olio   , dan itu enak sekali   , yang terenak yang pernah saya makan  . ;positive;-;-;-;-
pertama datang ayamnya masih setengah matang  ! ;negative;-;-;-;-
secara keseluruhan bagus   , layak dicoba  . ;-;-;-;-;-
hari biasa   , pengunjung tidak terlalu banyak jadi tempat yang nyaman untuk merenung   , meresapi keindahan alam  . ;-;-;-;positive;-
saya suka tempat ini dengan bunga-bunganya yang indah  . ;-;-;-;positive;-
sangat ramai pada musim liburan sehingga perlu bersabar untuk bisa bersantap dan bersantai  . ;-;-;-;-;-
menuju dusun bambu sangat mudah   , perlu bayar 15000 untuk dapat masuk dan meikmati fasilitas shuttle dari area parkiran menuju area tempat makan   , tersedia restoran   , foodcourt   , saung pinggir kolam dan sangkar-sangkaran yang dapat di sewa perjam   , untuk makanan cukup enak   , dengan harga termasuk mahal  . ;positive;-;negative;-;-
lebih dapat dinikmati saat sore menjelang malam   , udara dingin sudah terasa dan lampu-lampu sudah mulai menyala  . ;-;-;-;positive;-
tempat makan ini ramai saat liburan  . ;-;-;-;negative;-
tempatnya bagus dengan pemandangan yang sangat indah untuk foto-foto  . ;-;-;-;positive;-
kekurangannya  : pada saat masuk dipungut tiket masuk   , jika ingin makan di pinggir danau harus reservasi dulu sayangnya reservasi tidak bisa online   , kupon yang ditukarkan tidak bisa diuangkan kembali   , harga makanannya lumayan mahal  . ;-;-;negative;-;-
tetapi secara keseluruhan lumayanlah karena lumayan banyak spot indah buat foto-foto  . ;-;-;-;positive;-
makanan mahal memang cocok untuk bermain anak sih  . ;negative;-;-;-;-
cocok untuk wisata keluarga  . ;-;-;-;-;-
yang paling bagus itu restoran sangkar burungnya .;-;-;-;positive;-
restoran sangkar burungnya harus antri reservasi dan tergolong maahhal  . ;-;-;-;negative;-
dan satu lagi kalau kesini harus bawa kocek yang banyak karena makanan yang di jual disini mahal  . ;negative;-;-;-;-
fasilitas oke   , anak sangat riang   , ada atv   , mini farm   , danaunya bagus   , makanan lengkap   , layout taman alami dan tertata  . ;positive;-;-;positive;-
pemandangannya bagus  . ;-;-;-;positive;-
banyak tempat makan yang enak - enak  . ;positive;-;-;-;-
salah satu restoran tiongkok favorit saya  . ;-;-;-;positive;-
makanannya enak  ! ;positive;-;-;-;-
porsinya juga besar   , dan pilihan masakannya enak  . ;positive;-;-;-;-
restorannya cukup besar dan banyak tempat duduknya  . ;-;-;-;positive;-
masakan favorit saya adalah kepiting sokanya dan juga tahu seafood  . ;positive;-;-;-;-
restoran ini sangat cocok untuk makan bersama keluarga  . ;-;-;-;positive;-
menu yang tersedia sangat beragam mulai dari daging ayam   , bebek   , udang   ,   , ikan   , daging sapi dan lain-lain yang diolah dengan cara digoreng atau dikukus  . ;positive;-;-;-;-
lebih baik datang di hari minggu atau hari libur karena menu yang tersedia lebih beragam dan tinggal diambil di meja display sesuai dengan yang kita inginkan  . ;positive;-;-;-;-
datang lebih siang   , siap-siap masuk daftar tunggu karena tamunya sangat banyak  . ;-;negative;-;-;-
makanan yang patut dicoba sup burung dara  . ;positive;-;-;-;-
hakaondan dimsum lainnya   , sup burung dara   , udang mayonaise   , semuanya terbaik di bandung  . ;positive;-;-;-;-
restoran ini umumnya ramai saat kami berkunjung  . ;-;-;-;negative;-
udang mayonnaise termasuk paling lezat dari restoran yang kami kunjungi  . ;positive;-;-;-;-
tahu spesial easternnya  ( campuran tahu   , sayuran dan jamur dengan saos tiram kental  ) lezat  . ;positive;-;-;-;-
ikan gurami telornya asinnya cukup lezat . ;positive;-;-;-;-
ikan gurami telornya ada sedikit bau tanah .;negative;-;-;-;-
layanan stafnya ramah dan cukup cepat dalam kondisi semua meja terisi  . ;-;positive;-;-;-
saya lupa nama persis menunya tetapi buncisnya enak banget  ! ;positive;-;-;-;-
dan dimsumnya juara di sini   , semuanya enak-enak   , apalagi kalau dimakan dengan minyak cabenya yang terkenal  ! ;positive;-;-;-;-
di restoran ini kita dapat menikmati chinese makanan dengan harga yang seimbang dengan kualitas dan servisnya memuaskan  . ;-;positive;positive;-;-
saya suka sekali dengan sup burung dara -   , menurut saya disarankan  ! ;positive;-;-;-;-
enak sekali  ! ;-;-;-;-;-
dimsumnya enak   , terutama siomaynya   , yang merupakan campuran daging ayam dan udang  . ;positive;-;-;-;-
sup burung daranya terkenal  . ;positive;-;-;-;-
ketika memasuki restoran   , saya sempat merasa nyaman dengan suasana dan tata letak meja dan kursi yang cukup lapang  . ;-;-;-;positive;-
aneka ragam dimsum tersedia dan memang rasanya bisa dibilang nikmat  . ;positive;-;-;-;-
kami senang akan rasa makanan yang disediakan   , semuanya berjalan lancar sampai ketika datanglah pesanan kwetiaw goreng cah sapi  . ;positive;-;-;-;-
sungguh tidak profesional dan sama sekali tidak ada empatinya  . ;-;-;-;-;-
tempatnya nyaman banget buat ngobrol sama teman  . ;-;-;-;positive;-
varian pizza enak enak  . ;positive;-;-;-;-
pasta juga enak  . ;positive;-;-;-;-
disini banyak varian makanannya  . ;positive;-;-;-;-
kentang goreng rasa rendangnya juara  . ;positive;-;-;-;-
enak banget  . ;-;-;-;-;-
varian minumannya juga banyak  . ;positive;-;-;-;-
untuk harga iya standar cafe lah  . ;-;-;negative;-;-
restorannya desainnya unik   , lokasinya bagus dan makanannya enak juga  . ;positive;-;-;positive;-
desainnya lucu dan unik . ;-;-;-;positive;-
tetapi untuk menginap di sini disarankan jangan karena restorannya ramai sekali .;-;-;-;negative;-
menu ternyata lumayan beragam dan rasanya enak  . ;positive;-;-;-;-
harganya menengah keatas  . ;-;-;negative;-;-
staf cekatan  . ;-;positive;-;-;-
just bagus  . ;-;-;-;-;-
tidak sampai luar biasa . ;-;-;-;-;-
saya pesan grilled salmon dan cukup enak . ;positive;-;-;-;-
tetapi potongannya terlalu tebal .;negative;-;-;-;-
tempatnya nyaman dan tenang  . ;-;-;-;positive;-
menu makanannya cukup banyak dan enak - enak  . ;positive;-;-;-;-
porsinya pas buat saya makan sendiri  . ;positive;-;-;-;-
dengan porsi sebanyak ini   , menurut saya wajar kalau harganya cenderung sedikit mahal  . ;positive;-;negative;-;-
yang agak sulit tempat parkirnya saja  . ;-;-;-;negative;-
harganya sedikit lebih mahal . ;-;-;negative;-;-
harganya oke lah masih lebih murah untuk ukuran jakarta;-;-;negative;-;-
tempat bagus . ;-;-;-;positive;-
tempat sering penuh sehingga terlalu ramai untuk anda yang tidak suka suasana ramai .;-;-;-;negative;-
harga agak mahal rasa biasa saja  . ;negative;-;negative;-;-
restoran hummingbird merupakan restoran yang menyediakan berbagai makanan terutama makanan bergaya western dengan cita rasa yang berkelas dan unik  . ;positive;-;-;-;-
interior restoran juga ditata dengan sangat indah sehingga sangat nyaman untuk tempat hang out ataupun bersantai  . ;-;-;-;positive;-
suasana lembah dengan air terjun kecil yang luar biasa dengan makanan yang kualitasnya oke   , serta harga yang pantas  . ;positive;-;positive;positive;-
madajan biasa-biasa tidak ada yang spesial pelayanan biasa saja  . ;-;negative;-;-;-
wow   , tempatnya sangat romantis  . ;-;-;-;positive;-
lilin   , jalan mendaki   , konsep lesehan di tengah suara air terjun yang cukup dekat membuat suasana makan lebih nikmat  . ;-;-;-;positive;-
sesampainya di tempat makan   , konsep lesehan dengan disediakan bantal agar lebih nyaman  . ;-;-;-;positive;-
bisa tiduran juga karena tempat makan cukup besar  . ;-;-;-;positive;-
sedikit terkejut karena satu porsi cukup banyak untuk satu orang dewasa  . ;positive;-;-;-;-
makanannya enak-enak dan bervariasi  . ;positive;-;-;-;-
mungkin yang sedikit mahal adalah kerak telor  . ;negative;-;-;-;-
sewaktu pulang kami ditawarkan brokoli dengan harga yang terbilang wajar dan patut dibeli jika anda suka dengan brokoli  . ;-;-;positive;-;-
nyaman   , bersih   , makanan yang enak   , dan sejuk  ! ;positive;-;-;-;-
saung-saung yang nyaman lengkap dengan bantal dan guling   , suara air mengalir juga alunan musik sunda  . ;-;-;-;positive;-
selain tempat dan makanan yang enak   , yang berkesan dari tempat ini adalah petugas toilet yang sangat ramah  . ;positive;positive;-;positive;-
tempat yang wajib dikunjungi di daerah lembang bandung   , termasuk restoran mewah dengan berbagai variasi makanan   , tempat gubukan-gubukan yang begitu nyaman dengan kucuran air mancur sehingga membuat kami betah berlama lama disini  . ;positive;-;-;positive;-
kampung daun ini sangat bagus untuk dikunjungi pada malam hari saat ada di lembang karena suasana sangat asri sekali   , dan dingin   , pokoknya cocok untuk habiskan waktu dengan keluarga  . ;-;-;-;positive;-
suasana rumah makannya homy   , menu sangat bervariasi dan dihidangkan dengan cepat  . ;positive;-;-;positive;-
tempatnya alami dan menyatu dengan alam  . ;-;-;-;positive;-
makanannya enak . ;positive;-;-;-;-
makanannya mahal .;negative;-;-;-;-
makanannya setimpal .;positive;-;-;-;-
tenang suasananya   , ditambah suara air sungai semakin membuat rileks dan berlama-lama disana  . ;-;-;-;positive;-
suasana di restoran ini sangat nyaman dan nyaman  . ;-;-;-;positive;-
selain itu   , semua menu yang kami pilih ternyata sangat enak   , steak sangat empuk dan well made  . ;positive;-;-;-;-
saya paling suka donut steak yang mensubtitusi burger bun dengan sugar glazed donut  . ;positive;-;-;-;-
sangat enak  ! ;-;-;-;-;-
lokasinya di jalan riau   , tempatnya lumayan oke   , dekorasinya bergaya hutan  . ;-;-;-;positive;-
waktu saya kesini lagi ramai banget  . ;-;-;-;-;-
untuk makanannya saya suka sirloin steaknya   , enak  . ;positive;-;-;-;-
harganya juga murah menurut saya  . ;-;-;positive;-;-
harga juga standar lokasi cukup strategis di kawasan factory outlet jalan riau  . ;-;-;negative;positive;-
suasanya cukup nyaman serta staf restoran yang sangat membantu  . ;-;positive;-;positive;-
steaknya cukup empuk  . ;positive;-;-;-;-
sayurannya terlalu sedikit dan saucenya dikit banget buat sekilo  . ;negative;-;-;-;-
harganya setimpal dan pelayanannya ramah banget  :  )  . ;-;positive;positive;-;-
saya cukup kaget karena harga sirloin hanya rp 45 ribu   , saya pikir porsinya akan kecil   , ternyata dugaan saya salah   , rasanya enak dan porsinya cukup  . ;positive;-;-;-;-
saya menemukan restoran dengan pemandangan lumayan menantang  . ;-;-;-;positive;-
sangat bagus restorannya semuanya di desain rapi dan bersih  . ;-;-;-;positive;-
baik makanan dan minuman sangat enak segar dan variasi  . ;positive;-;-;-;-
sangat bagus untuk kalangan tongkrongan teman-teman  . ;-;-;-;-;-
great restoran in bandung  . ;-;-;-;positive;-
suasana restoran didesain seperti halloween   , sangat menarik di malam hari  . ;-;-;-;positive;-
cocok untuk makan bersama teman-teman  . ;positive;-;-;-;-
tempatnya bagus   , selain menyediakan makanan yang enak   , tempat ini juga menyediakan pemandangan kota bandung  . ;positive;-;-;positive;-
cafe yang cukup indah . ;-;-;-;positive;-
café sangat kotor untuk ukuran cafe saya mendapati banyak kotoran dibagian depan dibagian kasur untuk rasa standar dan harga tergolong standar .;negative;-;negative;negative;
makan malam disini salah satu yang terbaik menurut saya baik dari pilihan makanan dan tentu saja dari pemandangan yang anda dapat di restoran ini udara dingin menambah suasana makan malam anda lebih seru serta pilihan menu yang sangat beragam yang ditawarkan di tempat ini  . ;positive;-;-;positive;-
pada saat sampai di tempat parkir   , udara di luar sangat segar  . ;-;-;-;positive;-
akan tetapi di dalam restorannya sendiri udara tidak segar dan bau rokok   , banyak orang merokok;-;-;-;negative;
untuk makanan   , rasanya standar  . ;negative;-;-;-;-
tetapi porsinya kecil .;negative;-;-;-;-
satu hal lagi yang mengganggu adalah meja untuk makannya berdebu  . ;-;-;-;negative;-
pelayanan oke dan makanan cepat datang  . ;positive;positive;-;-;-
tempat ini mudah dicari karena terletak di pinggir jalan utama  . ;-;-;-;positive;-
cukup menarik dan nyaman untuk sekedar menghabiskan waktu bersama teman atau keluarga  . ;-;-;-;-;-
makanan dan minuman yang disajikan lumayan  . ;positive;-;-;-;-
harga juga tidak terlalu mahal  . ;-;-;positive;-;-
lokasi tidak terlalu jauh dari jalan utama   , pemandangan di malam hari oke tuk melepas penat dari jakarta  . ;-;-;-;positive;-
makanan rasanya biasa saja karena memang yang dijual pemandangan dan interior restoran  . ;negative;-;-;-;-
untuk rasa makanannya secara keseluruhan cukup enak dan minumannya juga berasa  . ;positive;-;-;-;-
di mana untuk suasananya cukup bagus  . ;-;-;-;positive;-
akan tetapi harganya sedikit agak mahal  . ;-;-;negative;-;-
datang bersama keluarga   , ada kue shop kecil   , agak mahal untuk kue . ;negative;-;-;positive;-
kue enak .;positive;-;-;-;-
beberapa menu makanan enak   , porsi cukup   , harga diatas rata-rata  . ;positive;-;negative;-;-
tetapi suasana sangat menyenangkan   , terutama kalau datang beramai-ramai   , ada playground diluar dan didalam   , anak-anak kecil tidak akan bosan;-;-;-;positive;-
datang ke miss bee pagi hari ternyata sudah ramai untuk sarapan  . ;-;-;-;negative;-
terletak di ketinggian   , miss bee memberikan suasana sejuk   , tersedia beberapa ruangan untuk makan   , yang unik tentu di rumah kaca  . ;-;-;-;positive;-
keseluruhan menu sangat bervariasi termasuk makanan indonesia dan barat  . ;positive;-;-;-;-
menu sarapan juga cukup variasi   , porsi cukup besar   , rasanya cukup enak   , selain sarapan di tempat   , saya memesan makanan untuk dibawa pulang  . ;positive;-;-;-;-
sangat menyenangkan  . ;-;-;-;-;-
semua makanan western enak   . ;positive;-;-;-;-
tetapi untuk masakan iga bakar agak keras dagingnya .;negative;-;-;-;-
disini menu pilihannya banyak  . ;positive;-;-;-;-
udaranya segar  . ;-;-;-;positive;-
tempatnya cantik  . ;-;-;-;positive;-
makanannya enak-enak terutama fish dan chips  . ;positive;-;-;-;-
patut dicoba  . ;-;-;-;-;-
banyak spot-spot untuk foto  . ;-;-;-;positive;-
pelayanan ramah dan cepat tanggap  . ;-;positive;-;-;-
suasana restoran menyenangkan   , dekorasi bagus   , dan tersedia playground kecil untuk anak-anak bermain di bagian belakang  . ;-;-;-;positive;-
untuk rasa makanan   , cukup enak  . ;positive;-;-;-;-
porsi dan harga sebanding  . ;positive;-;positive;-;-
karena antrian untuk makan disini cukup panjang   , jangan coba-coba unutk datang langsung tanpa reservasi karena akan lama untuk anda dapat tempat duduk   , terutama di saat akhir pekan  . ;-;negative;-;-;-
hidangannya berupa menu fusion asia - western dengan cita rasa yang bervariasi dan enak  . ;positive;-;-;-;-
minumannya juga banyak yang menarik  . ;positive;-;-;-;-
kopinya lumayan  . ;positive;-;-;-;-
rumah kaca dan tempat bermain anak yang menjadi daya tarik tempat ini juga  . ;-;-;-;positive;-
saya kesini karena penasaran dengan tempatnya dan ternyata benar   , tempatnya bagus dan makanannya enak-enak semuasaya pesen melted chiken rosti dan hot lemon tea   , untuk makanan penutup saya pilih baileys mudslide dan ini rasanya enak sekali aduh bikin ingin lagi  . ;positive;-;-;positive;-
harganya masih pantas untuk ukuran restoran di bandung  . ;-;-;positive;-;-
tempatnya asyik banget seperti di perumahan begitu jadi sepi dari suara kendaraan  . ;-;-;-;positive;-
tempat yang bagus   , bisa melihat kolam ikan koi   , boleh coba gurame goreng garing yang terkenal  . ;positive;-;-;positive;-
daging gurame yang difillet lalu digoreng satu per satu sangat enak  . ;positive;-;-;-;-
cumi bakar isi cukup terkenal disini  . ;positive;-;-;-;-
makanan enak yang biasa pesan adalah udang windu bakar  . ;positive;-;-;-;-
banyak tempat makan dengan harga terjangkau  . ;-;-;positive;-;-
namun dengan rasa istana .;positive;-;-;-;-
harga mahal  ! ;-;-;negative;-;-
lokasi tersembunyi   , dan rasa makanan biasa saja  . ;negative;-;-;negative;-
hidangan lautnya banyak pilihan dan bumbunya luar biasa  . ;positive;-;-;-;-
makanan di raja rasa sangat memuaskan  . ;positive;-;-;-;-
seafood di raja rasa sangat segar dan saya pasti akan ke sini lagi  . ;positive;-;-;-;-
saya kesini sama keluarga   , makanan enak dan seafood segar   , tidak bau amis juga  . ;positive;-;-;-;-
untuk harga bisa dibilang lumayan mahal  . ;-;-;negative;-;-
sushinya pilihannya banyak dan relatif murah dibanding di restoran jepang dengan kualitas yang sama  . ;positive;-;-;-;-
nabeyaki udonnya juga top  ! ;positive;-;-;-;-
menu kesukaan saya fried salmon skin   , fried garlic rice with chicken   , pastinya dilengkapi sama sushi  . ;positive;-;-;-;-
tempat paling pas buat pengemar masakan jepang   , rasanya enak   , tempatnya asyik dan yang pasti harga terjangkau  . ;positive;-;positive;positive;-
ini tempat makan kesukaan saya dari dulu sampai sekarang  . ;-;-;-;positive;-
sushi roll enak-enak  . ;positive;-;-;-;-
sayang baru kali ini saya dapat sushi roll yang ukurannya lebih kecil dari biasanya dan chicken katsu currynya nasinya keras dan sudah dingin  . ;negative;-;-;-;-
biasanya nasinya masih panas dan empuk  . ;positive;-;-;-;-
nuansa restoran dibuat khas jepang   , makanannya cukup beragam tidak hanya sushi  . ;positive;-;-;-;-
selalu tidak mengecewakan  . ;-;-;-;-;-
seaweed saladnya enak  . ;positive;-;-;-;-
salmon crispy mentai sushinya juara  . ;positive;-;-;-;-
salmon sashiminya harganya tidak terlalu mahal  . ;-;-;positive;-;-
beberapa hari lalu habis dari sushi tei   , ke sushi tei bisa sampai 2 atau 3 kali sebulan   , suka banget sama sushinya  ! ;positive;-;-;-;-
sushi favoritku spicy salmon   , their hand rolls are great too  ! ;positive;-;-;-;-
spicy miso ramen super duper enak   , sendirian suka tidak habis   , karena porsinya gede~  : d minumannya enak semua   , karena menyegarkan   , karena kalau habis makan sushi tidak bisa langsung dimakan semua   , harus istirahat dan minum  . ;positive;-;-;-;-
 < xx dan their sushi is tidak sangat mahal  . ;positive;-;-;-;-
secara keseluruhannya sih bagus  . ;-;-;-;-;-
karyawannya juga ramah ramah  . ;-;positive;-;-;-
dan pemandangannya bagus  . ;-;-;-;positive;-
tetapi makanannya terlalu mahal  . ;negative;-;-;-;-
mahal banget bahkan  . ;-;-;-;-;-
saya sangat suka sekali suasana di restoran ini   , sangat comfy apalagi di malam hari  . ;-;-;-;positive;-
pelayannya ramah   , menyempatkan becanda dengan anak-anak saya  . ;-;positive;-;-;-
walaupun agak sedikit mahal compare to others   , tetapi enak  . ;-;-;-;-;-
makanannya cepat datang  . ;positive;-;-;-;-
pelayanannya juga saat itu cekatan dan ramah  . ;-;positive;-;-;-
rasanya buat saya lumayan enak  . ;positive;-;-;-;-
secara keseluruhan kami senang makan malam di sini  . ;positive;-;-;-;-
restoran mewah yang di konsep sangat eleghan ini cocok untuk makan malam romantis bagi pasangan  . ;-;-;-;positive;-
konsep bisa juga untuk bersantai bersama sahabat atau keluarga;-;-;-;positive;-
sayangnya makanan di restoran ini tidak cukup beragam   , dan memiliki rate harga yang tinggi  . ;negative;-;negative;-;-
namun terbayar dengan kualitas pelayanan yang baik .;-;positive;-;-;-
restoran ini cukup luas   , suasana sangat menyenangkan   , pengunjung dapat melihat pemandangan kota bandung  . ;-;-;-;positive;-
terletak di tepi bukit   , tempatnya luas   , menyenangkan dan nyaman  . ;-;-;-;positive;-
pegawainya cekatan dan ramah  . ;-;positive;-;-;-
menu makanan di dominasi oleh menu steak walaupun ada juga menu nasi goreng   , gurame   , dan lain-lain  . untuk rasa   , tergolong standar   , dengan harga yang cukup mahal  . ;negative;-;negative;-;-
restoran yang direkomendasikan untuk dikunjungi ketika datang ke bandung  . ;-;-;-;positive;-
tempatnya memiliki pemandangan yang bagus  . ;-;-;-;positive;-
makanannya juga lumayan enak  . ;positive;-;-;-;-
sop buntutnya boleh dicoba   , cocok dengan udara digin di cafe ini  . ;positive;-;-;positive;-
dan untuk pelayanan   , pelayannya juga ramah-ramah  . ;-;positive;-;-;-
menu makanan cukup enak   , di teras atas   , disuguhi pemandangan kota bandung  . ;positive;-;-;-;-
dan memesan minum   , waktu tunggu dari minuman pesan sehingga sampai memakan waktu yang cukup lama  . ;-;positive;-;-;-
desain cafenya unik   , pelayannya ramah   , masakannya enak   , plus kami dapat souvenir udeng keren khas sunda  . ;positive;positive;-;positive;-
restoran ini menyediakan menu makanan indonesia dan western dan juga minumanannya sangat lengkap   , suasana makan menyenangkan di saung sambil melihat pemandangan kota bandung  . ;positive;-;-;positive;-
pelayanan menyenangkan   , harga sesuai kualitas dan pelayanan  . ;-;positive;positive;-;-
tempat makan yang menyenangkan sambil menikmati pemandangan alam dan kota bandung dari atas bukit dago . ;-;-;-;positive;-
akan tetapi makanannya cukup mahal .;negative;-;-;-;-
akan tetapi rasa yang diberikan sangat lezat dan enak .;positive;-;-;-;-
cocok sekali untuk hang out bersama saudara dan teman dengan suasana cafe yang berbeda  . ;-;-;-;positive;-
hanya saja   , sound yang dikeluarkan terbilang kecil   , sangat disayangkan  . ;-;-;-;negative;-
sound apabila dilihat dari sekitar   , masih ada pemukiman yang pasti akan terganggu apabila music terdengar kencang .;-;-;-;negative;-
kalaupun memang agak mahal   , anggap saja kita membeli suasana yang berbeda untuk ke cafe  . ;-;-;-;positive;-
cocok banget buat kumpul-kumpul sama teman  . ;-;-;-;-;-
tempatnya nyaman   , makanannya enak-enak banget  . ;positive;-;-;positive;-
sangat disarankan restoran di bandung  . ;-;-;-;positive;-
makanannya enak semua   , dari snack   , makanan utama sampai makanan penutup enak dan porsi mengenyangkan  ! udara sejuk   , tempatnya terang cocok untuk keluarga atau acara kantor  . ;positive;-;-;positive;-
salah satu tempat makan kesukaan kami  . ;-;-;-;positive;-
harganya memang mahal sekali untuk ukuran bandung  . ;-;-;negative;-;-
tempatnya sangat nyaman dan romantis  . ;-;-;-;positive;-
paling enak sup zuppanya dan kue-kuenya  . ;positive;-;-;-;-
sangat ramai dikunjungi apalagi wekeend  . ;-;-;-;-;-
porsi makanan yang disajikan cukup besar sebanding dengan harganya yang cukup mahal  . ;positive;-;negative;-;-
pelayanan juga sangat baik  . ;-;positive;-;-;-
sangat bagus kesini sore menjelang malam agar bisa menikmati suasana kota bandung dari ketinggian  . ;-;-;-;positive;-
saya memilih malam hari mengunjungi the valley restoran dengan alasan selain untuk santap malam suasana romantis juga dapat traveller dapatkan disini  . ;-;-;-;positive;-
duduk di teras adalah pilihan terbaik untuk mendapatkan pemandangan yang cantik akan kota bandung dan menikmati sejuknya udara  . ;-;-;-;positive;-
dari segi cita rasa kulier juga saya beri acungan jempol steak yang menjadi kesukaan saya disini  . ;positive;-;-;-;-
kesimpulan the valley adalah restoran yang paling cocok bagi traveller yang mengejar suasana romantis dan cita rasa kulier yang enak  . ;positive;-;-;positive;-
makan disini enaknya saat malam hari  . ;-;-;-;-;-
saat udara dingin sambil memandang pemandangan kota bandung  . ;-;-;-;positive;-
harga makanan disini termasuk mahal  . ;-;-;negative;-;-
atmosfir restoran yang yahud  . ;-;-;-;positive;-
buat anda yang hunting restoran dengan suasana yang romantic tidak salah lagi kesini ajah  . ;-;-;-;positive;-
menu sukinya lebih oke  . ;positive;-;-;-;-
menu sukinya kayaknya sedang apa yah jauh-jauh bermacet ria kesini cuma mencari itu .;negative;-;-;-;-
pemandangan bandung di night megang banget  . ;-;-;-;positive;-
bahan makanan yang disediakan cukup beragam dan rata-rata untuk daging sapi sudah diberi bumbu  ( barbeque   , lada hitam   , dan lain-lain  )  . ;positive;-;-;-;-
tempatnya cukup luas dan mejanya cukup banyak  . ;-;-;-;positive;-
tetapi memang restoran ini sangat romantis dengan pemandangannya yang sangat indah di malam hari  . ;-;-;-;positive;-
makanannya juga lezat dengan harga yang terjangkau  . ;positive;-;positive;-;-
kami ke two hands penuh karena melihat review beberapa blogger tentang tempat ini dan menunya yang sophisticated  . ;positive;-;-;-;-
tempat yang menyenangkan   , juga layanan staf yang penuh senyum  . ;-;positive;-;positive;-
enak banget buat ngopi dan nge - chill suasana beda karena dekorasi seperti bangunan belum jadi makanan enak dan most importantly   , barista ramah  . ;positive;positive;-;positive;-
cafe two hand penuh yang paling enak adalah menu sarapan  . ;positive;-;-;-;-
kopi juga enak lah  . ;positive;-;-;-;-
tempatnya menarik   , dengan konsep yang sangat pabrik  . ;-;-;-;positive;-
tempatnya oke   , di lokasi strategis   , konsep menarik  . ;-;-;-;positive;-
cara penyajian  / presentasinya juga oke  . ;positive;-;-;-;-
kualitas kopinya bagus dan enak  . ;positive;-;-;-;-
